instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0255,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.051,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.102,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.204,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.408,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0042,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0084,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0168,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0336,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0672,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1344,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2688,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
