instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0464,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0928,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1856,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3712,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0209,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0418,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0835,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.167,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0046,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0092,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0184,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0368,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0736,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1472,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2944,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0058,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0116,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0232,2,2 GiB,EBS Only,Up to 5 Gigabit
