instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1872,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0052,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0104,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0208,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0416,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0832,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1664,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3328,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0065,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.013,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.026,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.052,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.104,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.208,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.416,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0117,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0234,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0468,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0936,2,8 GiB,EBS Only,Up to 5 Gigabit
