instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.0028,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0056,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0112,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0224,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0448,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.0896,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.1792,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0056,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0112,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0224,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0448,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0896,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1792,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3584,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.0253,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.0506,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.1012,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.2024,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.4048,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$0.8096,32,128 GiB,EBS Only,10 Gigabit
t4g.nano,$0.0028,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0056,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0112,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0224,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0448,2,8 GiB,EBS Only,Up to 5 Gigabit
