instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0425,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1699,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0047,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0094,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0188,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0376,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0752,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1504,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3008,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0118,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0236,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0472,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0944,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1888,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3776,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0053,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0106,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0212,2,2 GiB,EBS Only,Up to 5 Gigabit
