instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2637,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5274,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0096,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0192,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0384,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0764,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1448,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2746,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0112,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0224,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0448,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0712,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1332,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2848,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5696,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0211,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0422,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0659,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1226,2,8 GiB,EBS Only,Up to 5 Gigabit
