instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0108,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0216,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0432,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.068,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1268,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.272,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.544,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0102,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0204,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0407,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.063,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1169,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2522,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5043,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0092,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0184,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0368,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0732,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1384,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2618,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0108,2,0.5 GiB,EBS Only,Up to 5 Gigabit
