instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0102,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0204,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0408,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0632,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1172,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2528,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5056,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0077,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0154,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0307,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.043,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0769,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1722,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.3443,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0085,1,0.5 GiB,EBS Only,Low
t2.micro,$0.017,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.034,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0676,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1272,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2394,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0102,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0204,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0408,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0632,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1172,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2528,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5056,8,32 GiB,EBS Only,Up to 5 Gigabit
