instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.021,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.042,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0656,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.122,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2624,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5248,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0099,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0198,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0396,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0609,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1126,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2435,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.487,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0089,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0178,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0356,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0708,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1336,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2522,4,16 GiB,EBS Only,Moderate
