instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0104,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0208,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0416,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0648,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1204,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2592,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5184,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0393,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0602,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1111,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2406,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4813,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0087,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0174,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0348,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0692,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1304,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2458,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0104,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0208,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0416,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0648,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1204,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2592,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5184,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0393,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0602,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1111,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2406,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4813,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0087,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0174,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0348,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0692,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1304,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2458,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0104,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0208,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0416,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0648,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1204,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2592,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5184,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0393,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0602,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1111,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2406,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4813,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0087,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0174,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0348,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0692,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1304,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2458,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0104,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0208,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0416,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0648,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1204,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2592,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5184,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0393,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0602,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1111,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2406,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4813,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0087,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0174,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0348,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0692,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1304,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2458,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0104,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0208,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0416,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0648,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1204,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2592,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5184,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0393,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0602,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1111,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2406,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4813,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0087,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0174,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0348,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0692,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1304,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2458,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0104,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0208,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0416,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0648,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1204,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2592,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5184,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0393,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0602,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1111,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2406,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4813,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0087,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0174,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.0348,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0692,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1304,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2458,4,16 GiB,EBS Only,Moderate
